NAME,STATE,COUNTY,B01001_001E,B01001_002E,B01001_026E,B01001A_001E,B01001A_002E,B01001A_017E,B01001A_001E,B01001B_002E,B01001A_017E,B01001C_001E,B01001C_002E,B01001C_017E,B01001D_001E,B01001D_002E,B01001D_017E,B01001F_001E,B01001F_002E,B01001F_017E,B01001G_001E,B01001G_002E,B01001G_017E,B01001H_001E,B01001H_002E,B01001H_017E,B01001I_001E,B01001I_002E,B01001I_017E,B01002_001E,B01002A_001E,B01002B_001E,B01002C_001E,B01002D_001E,B01002F_001E,B01002G_001E,B01002H_001E,B01002I_001E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02013_001E,B02018_008E,B03001_004E,B03001_005E,B03001_008E,B03001_016E,B03002_013E,B03002_014E,B03002_015E,B03002_016E,B03002_018E,B03002_019E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,B05002_003E,B05006_124E,B05006_139E,B05010_001E,B05010_002E,B05010_007E,B05010_010E,B05010_015E,B05010_018E,B05010_023E,B05011_002E,B05011_003E,B05011_004E,B05011_005E,B05012_003E,B05013_002E,B05013_021E,B06002_001E,B06002_002E,B06002_003E,B06002_005E,B06004A_002E,B06004B_002E,B06004C_002E,B06004D_002E,B06004F_002E,B06004G_002E,B06004H_002E,B06004I_002E,B06008_002E,B06008_003E,B06008_004E,B06008_005E,B06008_006E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06011_001E,B06011_002E,B06011_003E,B06011_005E,B06012_001E,B06012_002E,B06012_003E,B06012_003E,B06012_018E,B06012_019E,B06012_020E,B07001_017E,B07001_018E,B07001_019E,B07001_020E,ucgid,B01001_001P,B01001_002P,B01001_026P,B01001A_001P,B01001A_002P,B01001A_017P,B01001A_001P,B01001A_017P,B01001C_001P,B01001C_002P,B01001C_017P,B01001D_001P,B01001D_002P,B01001D_017P,B01001F_001P,B01001F_002P,B01001F_017P,B01001G_001P,B01001G_002P,B01001G_017P,B01001H_001P,B01001H_002P,B01001H_017P,B01001I_001P,B01001I_002P,B01001I_017P,B01002_001P,B01002A_001P,B01002B_001P,B01002C_001P,B01002D_001P,B01002F_001P,B01002G_001P,B01002H_001P,B01002I_001P,B02008_001P,B02009_001P,B02010_001P,B02011_001P,B02013_001P,B05010_001P,B05010_002P,B05010_007P,B05010_010P,B05010_015P,B05010_018P,B05010_023P,B06002_001P,B06002_002P,B06002_003P,B06002_005P,B06011_001P,B06011_002P,B06011_003P,B06011_005P,B06012_001P,B06012_002P,B06012_003P,B06012_003P,B06012_018P,B06012_019P,B06012_020P
"Steamboat Springs city, Steamboat Springs CCD, Routt County, Colorado",08,107,12777,6736,6041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079349673825,100%,52.7%,47.3%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Remainder of Steamboat Springs CCD, Steamboat Springs CCD, Routt County, Colorado",08,107,5366,2736,2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079349699999,100%,51%,49%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Yampa town, Yampa CCD, Routt County, Colorado",08,107,452,254,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079393386475,100%,56.2%,43.8%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Remainder of Yampa CCD, Yampa CCD, Routt County, Colorado",08,107,483,296,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0700000US081079393399999,100%,61.3%,38.7%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%
"Census Tract 1, Routt County, Colorado",08,107,2155,1103,1052,2143,1097,1046,2143,6,1046,5,0,5,0,0,0,0,0,0,0,0,0,2088,1061,1027,55,36,19,53.6,53.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6,25.9,2143,7,5,0,0,0,0,0,0,0,55,0,0,0,0,0,2045,0,62,39,9,795,0,0,336,34,0,21,0,281,0,9,39,0,0,48,9,39,53.6,40.7,56.1,39.9,789,1,5,0,0,0,781,8,272,1335,117,36,76,431,446,441,314,35078,46397,34214,31161,2155,312,42,42,0,0,48,1896,39,254,27,1400000US08107000100,100%,51.2%,48.8%,100%,51.2%,48.8%,100%,48.8%,100%,0%,100%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,100%,50.8%,49.2%,100%,65.5%,34.5%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,NaN%,100%,10.1%,0%,6.3%,0%,83.6%,0%,100%,75.9%,104.7%,74.4%,100%,132.3%,97.5%,88.8%,100%,14.5%,1.9%,1.9%,0%,0%,2.2%
"Census Tract 2, Routt County, Colorado",08,107,2031,1069,962,1859,997,862,1859,7,862,65,18,47,6,5,1,13,7,6,81,35,46,1669,916,753,231,99,132,39.8,42.0,-666666666.0,13.9,-666666666.0,-666666666.0,19.1,40.4,47.2,1940,30,111,18,13,1,178,16,0,0,190,0,5,0,13,23,1963,0,28,12,28,1078,6,6,487,32,4,126,49,329,69,28,12,0,5,40,16,24,39.8,32.8,46.9,41.9,1010,7,5,0,0,56,852,186,462,855,204,17,137,490,536,158,121,31121,28218,35900,-666666666,2029,225,199,199,0,5,34,1639,73,300,84,1400000US08107000200,100%,52.6%,47.4%,100%,53.6%,46.4%,100%,46.4%,100%,27.7%,72.3%,100%,83.3%,16.7%,100%,53.8%,46.2%,100%,43.2%,56.8%,100%,54.9%,45.1%,100%,42.9%,57.1%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,6.6%,0.8%,25.9%,10.1%,67.6%,14.2%,100%,82.4%,117.8%,105.3%,100%,90.7%,115.4%,-2142176.2%,100%,11.1%,9.8%,9.8%,0%,0.2%,1.7%
"Census Tract 3, Routt County, Colorado",08,107,2210,1099,1111,2077,1041,1036,2077,6,1036,31,4,27,7,0,7,26,7,19,57,41,16,2056,1038,1018,78,41,37,49.8,51.5,58.0,7.7,-666666666.0,-666666666.0,33.6,51.4,33.9,2134,22,31,23,57,0,78,0,0,0,21,0,0,0,26,31,2132,0,43,10,25,1012,3,3,338,14,4,49,13,275,55,25,10,0,3,35,12,23,49.8,45.0,55.2,47.9,967,0,28,0,7,10,949,25,384,1088,276,30,112,501,502,409,296,37243,35679,40410,-666666666,2204,220,134,134,0,0,35,1947,36,281,16,1400000US08107000300,100%,49.7%,50.3%,100%,50.1%,49.9%,100%,49.9%,100%,12.9%,87.1%,100%,0%,100%,100%,26.9%,73.1%,100%,71.9%,28.1%,100%,50.5%,49.5%,100%,52.6%,47.4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,4.1%,1.2%,14.5%,3.8%,81.4%,16.3%,100%,90.4%,110.8%,96.2%,100%,95.8%,108.5%,-1790045.6%,100%,10%,6.1%,6.1%,0%,0%,1.6%
"Census Tract 4, Routt County, Colorado",08,107,3985,2060,1925,3645,1907,1738,3645,0,1738,13,0,13,66,16,50,186,110,76,75,27,48,3214,1765,1449,617,252,365,38.4,39.9,-666666666.0,-666666666.0,38.9,16.8,13.0,45.0,17.2,3720,0,13,141,186,10,515,0,0,0,431,0,0,0,186,0,3497,0,98,165,225,1554,180,180,1009,145,145,214,20,650,117,225,165,0,70,390,163,227,38.4,17.2,53.6,36.9,1372,0,0,21,134,27,1145,361,1071,1584,562,48,59,559,859,757,506,38676,26250,45397,18864,3938,490,360,360,156,90,144,3468,238,689,93,1400000US08107000400,100%,51.7%,48.3%,100%,52.3%,47.7%,100%,47.7%,100%,0%,100%,100%,24.2%,75.8%,100%,59.1%,40.9%,100%,36%,64%,100%,54.9%,45.1%,100%,40.8%,59.2%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,100%,100%,100%,100%,14.4%,14.4%,21.2%,2%,64.4%,11.6%,100%,44.8%,139.6%,96.1%,100%,67.9%,117.4%,48.8%,100%,12.4%,9.1%,9.1%,4%,2.3%,3.7%
"Census Tract 5, Routt County, Colorado",08,107,4255,2421,1834,4069,2303,1766,4069,39,1766,7,0,7,69,51,18,34,17,17,24,11,13,3906,2202,1704,163,101,62,34.4,34.6,20.1,-666666666.0,27.5,15.3,36.7,35.0,34.2,4082,76,12,80,34,0,132,0,8,16,163,0,0,0,0,0,3998,0,58,147,52,1170,29,16,560,45,45,69,57,446,33,52,147,24,7,199,156,43,34.4,23.8,38.6,15.4,1144,8,0,0,13,5,1113,31,1745,1535,400,25,76,388,875,1235,585,33438,24915,37345,24297,4064,243,108,108,7,13,171,3656,61,477,36,1400000US08107000500,100%,56.9%,43.1%,100%,56.6%,43.4%,100%,43.4%,100%,0%,100%,100%,73.9%,26.1%,100%,50%,50%,100%,45.8%,54.2%,100%,56.4%,43.6%,100%,62%,38%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,8%,8%,12.3%,10.2%,79.6%,5.9%,100%,69.2%,112.2%,44.8%,100%,74.5%,111.7%,72.7%,100%,6%,2.7%,2.7%,0.2%,0.3%,4.2%
"Census Tract 6, Routt County, Colorado",08,107,3044,1620,1424,2977,1606,1371,2977,0,1371,0,0,0,21,0,21,33,14,19,13,0,13,2792,1539,1253,218,81,137,43.2,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.3,40.8,2990,4,9,21,33,0,164,20,0,0,185,0,0,0,33,0,2721,20,43,49,211,874,15,3,457,45,39,12,12,400,33,211,49,11,20,260,107,153,43.2,27.8,48.8,33.0,842,0,0,0,19,13,704,157,920,1441,199,14,108,483,534,847,483,38100,32900,45903,30216,3044,209,138,138,11,35,214,2760,91,342,25,1400000US08107000600,100%,53.2%,46.8%,100%,53.9%,46.1%,100%,46.1%,NaN%,NaN%,NaN%,100%,0%,100%,100%,42.4%,57.6%,100%,0%,100%,100%,55.1%,44.9%,100%,37.2%,62.8%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,9.8%,8.5%,2.6%,2.6%,87.5%,7.2%,100%,64.4%,113%,76.4%,100%,86.4%,120.5%,79.3%,100%,6.9%,4.5%,4.5%,0.4%,1.1%,7%
"Census Tract 7, Routt County, Colorado",08,107,5076,2441,2635,4865,2290,2575,4865,112,2575,22,22,0,77,17,60,0,0,0,0,0,0,4670,2207,2463,217,105,112,36.5,33.9,37.8,-666666666.0,59.1,-666666666.0,-666666666.0,35.1,28.8,4865,112,22,77,0,0,93,0,31,19,195,0,22,0,0,0,4604,22,33,252,165,1391,161,93,914,57,19,0,0,857,76,165,252,73,18,417,177,240,36.5,15.5,43.3,37.7,1369,0,22,0,0,0,1298,93,1732,1830,490,40,200,371,740,1677,770,35644,30096,35948,36318,5028,637,118,118,42,0,375,3783,138,600,40,1400000US08107000700,100%,48.1%,51.9%,100%,47.1%,52.9%,100%,52.9%,100%,100%,0%,100%,22.1%,77.9%,NaN%,NaN%,NaN%,NaN%,NaN%,NaN%,100%,47.3%,52.7%,100%,48.4%,51.6%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NaN%,100%,6.2%,2.1%,0%,0%,93.8%,8.3%,100%,42.5%,118.6%,103.3%,100%,84.4%,100.9%,101.9%,100%,12.7%,2.3%,2.3%,0.8%,0%,7.5%
